Reference,Verse,Topics
Matthew 22:39,And the second is equally important: ‘Love your neighbor as yourself.’,Love|Neighbor|Commandment
Psalm 103:2-3,Let all that I am praise the Lord; may I never forget the good things he does for me. He forgives all my sins and heals all my diseases.,Praise|Forgiveness|Healing
Romans 12:14,Bless those who persecute you. Don’t curse them; pray that God will bless them.,Blessing|Persecution|Prayer
Matthew 5:7,"God blesses those who are merciful, for they will be shown mercy.",Mercy|Compassion|Blessing
Matthew 5:9,"God blesses those who work for peace, for they will be called the children of God.",Peace|Community|Blessing
Matthew 5:3,"God blesses those who are poor and realize their need for him, for the Kingdom of Heaven is theirs.",Humility|Need|Blessing
Matthew 5:8,"God blesses those whose hearts are pure, for they will see God.",Purity|Vision|Blessing
Matthew 5:10,"God blesses those who are persecuted for doing right, for the Kingdom of Heaven is theirs.",Persecution|Righteousness|Blessing
Matthew 5:6,"God blesses those who hunger and thirst for justice, for they will be satisfied.",Righteousness|Desire|Blessing
Matthew 5:4,"God blesses those who mourn, for they will be comforted.",Mourning|Comfort|Blessing
Matthew 5:11-12,"God blesses you when people mock you and persecute you and lie about you and say all sorts of evil things against you because you are my followers. Be happy about it! Be very glad! For a great reward awaits you in heaven. And remember, the ancient prophets were persecuted in the same way.",Persecution|Joy|Reward
2 Corinthians 1:3-4,"All praise to God, the Father of our Lord Jesus Christ. God is our merciful Father and the source of all comfort. He comforts us in all our troubles so that we can comfort others. When they are troubled, we will be able to give them the same comfort God has given us.",Comfort|Compassion|Community
Romans 5:8,But God showed his great love for us by sending Christ to die for us while we were still sinners.,Love|Sacrifice|Salvation
2 Corinthians 12:9,"Each time he said, “My grace is all you need. My power works best in weakness.” So now I am glad to boast about my weaknesses, so that the power of Christ can work through me.",Grace|Weakness|Power
Psalm 55:16-17,"But I will call on God, and the Lord will rescue me. Morning, noon, and night I cry out in my distress, and the Lord hears my voice.",Prayer|Trust|Salvation
Matthew 5:44,"But I say, love your enemies! Pray for those who persecute you!",Love|Prayer|Enemies
Psalm 31:14-15,"But I am trusting you, O Lord, saying, “You are my God!” My future is in your hands. Rescue me from those who hunt me down relentlessly.",Trust|Deliverance|God
1 Peter 3:15,"Instead, you must worship Christ as Lord of your life. And if someone asks about your hope as a believer, always be ready to explain it.",Hope|Witness|Gentleness
Matthew 19:26,"Jesus looked at them intently and said, “Humanly speaking, it is impossible. But with God everything is possible.”",Faith|Possibility|God
Matthew 6:33,"Seek the Kingdom of God above all else, and live righteously, and he will give you everything you need.",Priorities|Righteousness|Provision
Galatians 5:22-23,"But the Holy Spirit produces this kind of fruit in our lives: love, joy, peace, patience, kindness, goodness, faithfulness, gentleness, and self-control. There is no law against these things!",Fruit|Spirit|Virtue
Isaiah 40:31,But those who trust in the Lord will find new strength. They will soar high on wings like eagles. They will run and not grow weary. They will walk and not faint.,Strength|Hope|Endurance
John 1:12,"But to all who believed him and accepted him, he gave the right to become children of God.",Faith|Acceptance|Identity
John 15:26,But I will send you the Advocate—the Spirit of truth. He will come to you from the Father and will testify all about me.,Spirit|Truth|Witness
Matthew 6:6,"But when you pray, go away by yourself, shut the door behind you, and pray to your Father in private. Then your Father, who sees everything, will reward you.",Prayer|Privacy|Reward
1 Peter 2:9,"But you are not like that, for you are a chosen people. You are royal priests, a holy nation, God’s very own possession. As a result, you can show others the goodness of God, for he called you out of the darkness into his wonderful light.",Identity|Purpose|Light
Psalm 86:15,"But you, O Lord, are a God of compassion and mercy, slow to get angry and filled with unfailing love and faithfulness.",Mercy|Love|Patience
Psalm 3:3,"But you, O Lord, are a shield around me; you are my glory, the one who holds my head high.",Protection|Glory|God
Psalm 55:22,"Give your burdens to the Lord, and he will take care of you. He \tHe will not permit the godly to slip and fall.",Trust|Care|Relief
1 Peter 5:7,"Give all your worries and cares to God, for he cares about you.",Anxiety|Trust|Care
Matthew 11:28,"Then Jesus said, “Come to me, all of you who are weary and carry heavy burdens, and I will give you rest.",Rest|Relief|Invitation
Matthew 11:28-29,"Then Jesus said, “Come to me, all of you who are weary and carry heavy burdens, and I will give you rest. Take my yoke upon you. Let me teach you, because I am humble and gentle at heart, and you will find rest for your souls.",Rest|Humility|Learning
Psalm 34:11,"Come, my children, and listen to me, and I will teach you to fear the Lord.",Teaching|Fear|God
Psalm 37:5,"Commit everything you do to the Lord. Trust him, and he will help you.",Commitment|Trust|Action
Proverbs 16:3,"Commit your actions to the Lord, and your plans will succeed.",Commitment|Success|Trust
James 1:2-3,"Dear brothers and sisters, when troubles of any kind come your way, consider it an opportunity for great joy. For you know that when your faith is tested, your endurance has a chance to grow.",Joy|Trials|Endurance
Psalm 51:10,"Create in me a clean heart, O God. Renew a loyal spirit within me.",Purity|Renewal|Heart
Proverbs 18:21,The tongue can bring death or life; those who love to talk will reap the consequences.,Words|Power|Consequences
Psalm 37:4,"Take delight in the Lord, and he will give you your heart’s desires.",Delight|Desire|Trust
Philippians 4:6-7,"Don’t worry about anything; instead, pray about everything. Tell God what you need, and thank him for all he has done. Then you will experience God’s peace, which exceeds anything we can understand. His peace will guard your hearts and minds as you live in Christ Jesus.",Prayer|Peace|Thanksgiving
Romans 12:2,"Don’t copy the behavior and customs of this world, but let God transform you into a new person by changing the way you think. Then you will learn to know God’s will for you, which is good and pleasing and perfect.",Transformation|Mind|Will
Romans 12:21,"Don’t let evil conquer you, but conquer evil by doing good.",Good|Evil|Victory
Matthew 6:19-20,"Don’t store up treasures here on earth, where moths eat them and rust destroys them, and where thieves break in and steal. Store your treasures in heaven, where moths and rust cannot destroy, and thieves do not break in and steal.",Treasure|Heaven|Priorities
1 Peter 3:9,"Don’t repay evil with evil. Don’t retaliate with insults when people insult you. Instead, bless them, because to this you were called so that you may inherit a blessing.",Blessing|Evil|Good
Philippians 2:3-4,"Don’t be selfish; don’t try to impress others. Be humble, thinking of others as better than yourselves. Don’t look out only for your own interests, but take an interest in others, too.",Humility|Others|Love
2 Timothy 2:15,"Work hard so you can present yourself to God and receive his approval. Be a good worker, one who does not need to be ashamed and who correctly explains the word of truth.",Effort|Truth|Approval
Matthew 12:33,"A tree is identified by its fruit. If a tree is good, its fruit will be good. If a tree is bad, its fruit will be bad.",Fruit|Identity|Judgment
Psalm 23:4,"Even when I walk through the darkest valley, I will not be afraid, for you are close beside me. Your rod and your staff protect and comfort me.",Fear|Comfort|Presence
Matthew 7:24,"Anyone who listens to my teaching and follows it is wise, like a person who builds a house on solid rock.",Obedience|Wisdom|Foundation
Isaiah 41:10,"Don’t be afraid, for I am with you. Don’t be discouraged, for I am your God. I will strengthen you and help you. I will hold you up with my victorious right hand.",Fear|Strength|Support
Ephesians 6:10,A final word: Be strong in the Lord and in his mighty power.,Strength|Power|Faith
Philippians 4:8,"And now, dear brothers and sisters, one final thing. Fix your thoughts on what is true, and honorable, and right, and pure, and lovely, and admirable. Think about things that are excellent and worthy of praise.",Focus|Virtue|Excellence
Ephesians 2:8-9,"God saved you by his grace when you believed. And you can’t take credit for this; it is a gift from God. Salvation is not a reward for the good things we have done, so none of us can boast about it.",Grace|Faith|Salvation
Psalm 62:1-2,"I wait quietly before God, for my victory comes from him. He alone is my rock and my salvation, my fortress where I will never be shaken.",Trust|Salvation|Stability
2 Timothy 1:7,"For God has not given us a spirit of fear and timidity, but of power, love, and self-discipline.",Power|Love|Discipline
John 3:16,"For this is how God loved the world: He gave his one and only Son, so that everyone who believes in him will not perish but have eternal life.",Love|Sacrifice|Salvation
Psalm 30:5,"His anger lasts only a moment, but his favor lasts a lifetime! Weeping may last through the night, but joy comes with the morning.",Favor|Joy|Restoration
Romans 8:38-39,"And I am convinced that nothing can ever separate us from God’s love. Neither death nor life, neither angels nor demons, neither our fears for today nor our worries about tomorrow—not even the powers of hell can separate us from God’s love. No power in the sky above or in the earth below—indeed, nothing in all creation will ever be able to separate us from the love of God that is revealed in Christ Jesus our Lord.",Love|Security|Assurance
Romans 8:18,Yet what we suffer now is nothing compared to the glory he will reveal to us later.,Suffering|Glory|Hope
Jeremiah 29:11,"For I know the plans I have for you,” says the Lord. “They are plans for good and not for disaster, to give you a future and a hope.",Purpose|Hope|Future
Matthew 6:14-15,"If you forgive those who sin against you, your heavenly Father will forgive you. But if you refuse to forgive others, your Father will not forgive your sins.",Forgiveness|Love|Obedience
Isaiah 55:8-9,"“My thoughts are nothing like your thoughts,” says the Lord. “And my ways are far beyond anything you could imagine. For just as the heavens are higher than the earth, so my ways are higher than your ways and my thoughts higher than your thoughts.",God|Wisdom|Transcendence
Proverbs 2:6,For the Lord grants wisdom! From his mouth come knowledge and understanding.,Wisdom|Knowledge|God
Proverbs 24:16,"The godly may trip seven times, but they will get up again. But one disaster is enough to overthrow the wicked.",Resilience|Righteousness|Perseverance
Romans 6:23,"For the wages of sin is death, but the free gift of God is eternal life through Christ Jesus our Lord.",Sin|Salvation|Grace
Romans 8:29,"For God knew his people in advance, and he chose them to become like his Son, so that his Son would be the firstborn among many brothers and sisters.",Purpose|Transformation|Identity
2 Corinthians 5:7,For we live by believing and not by seeing.,Faith|Trust|Life
Matthew 18:20,"For where two or three gather together as my followers, I am there among them.",Presence|Community|Assurance
Psalm 31:3,"You are my rock and my fortress. For the honor of your name, lead me and guide me.",Guidance|Protection|Honor
Romans 8:15,"So you have not received a spirit that makes you fearful slaves. Instead, you received God’s Spirit when he adopted you as his own children. Now we call him, “Abba, Father.”",Adoption|Spirit|Identity
Psalm 119:89,"Your eternal word, O Lord, stands firm in heaven.",Truth|Eternal|Word
Psalm 46:1,"God is our refuge and strength, always ready to help in times of trouble.",Refuge|Strength|Help
Proverbs 16:22,"Discretion is a life-giving fountain to those who possess it, but discipline is wasted on fools.",Wisdom|Life|Discretion
Proverbs 19:11,Sensible people control their temper; they earn respect by overlooking wrongs.,Anger|Forgiveness|Wisdom
Proverbs 16:24,Kind words are like honey—sweet to the soul and healthy for the body.,Words|Encouragement|Healing
Proverbs 16:31,Gray hair is a crown of glory; it is gained by living a godly life.,Honor|Righteousness|Life
Psalm 119:165,Those who love your instructions have great peace and do not stumble.,Peace|Obedience|Stability
John 15:13,There is no greater love than to lay down one’s life for one’s friends.,Love|Sacrifice|Friendship
Proverbs 10:12,"Hatred stirs up quarrels, but love makes up for all offenses.",Love|Forgiveness|Peace
Joshua 1:9,This is my command—be strong and courageous! Do not be afraid or discouraged. For the Lord your God is with you wherever you go.,Strength|Courage|Presence
Psalm 147:3,He heals the brokenhearted and bandages their wounds.,Healing|Compassion|Restoration
John 21:17,"A third time he asked him, “Simon son of John, do you love me?” Peter was hurt that Jesus asked the question a third time. He said, “Lord, you know everything. You know that I love you.” Jesus said, “Then feed my sheep.",Love|Service|Obedience
Romans 8:32,"Since he did not spare even his own Son but gave him up for us all, won’t he also give us everything else?",Sacrifice|Provision|Love
Psalm 91:1-2,"Those who live in the shelter of the Most High will find rest in the shadow of the Almighty. This I declare about the Lord: He alone is my refuge, my place of safety; he is my God, and I trust him.",Protection|Trust|Refuge
Proverbs 3:9-10,"Honor the Lord with your wealth and with the best part of everything you produce. Then he will fill your barns with grain, and your vats will overflow with good wine.",Honor|Provision|Obedience
Proverbs 13:12,"Hope deferred makes the heart sick, but a dream fulfilled is a tree of life.",Hope|Desire|Fulfillment
Psalm 119:9,How can a young person stay pure? By obeying your word.,Purity|Obedience|Word
Proverbs 16:16,"How much better to get wisdom than gold, and good judgment than silver!",Wisdom|Value|Understanding
1 Peter 5:6,"So humble yourselves under the mighty power of God, and at the right time he will lift you up in honor.",Humility|Exaltation|Trust
John 15:5,"Yes, I am the vine; you are the branches. Those who remain in me, and I in them, will produce much fruit. For apart from me you can do nothing.",Abiding|Fruit|Dependence
Romans 12:1,"And so, dear brothers and sisters, I plead with you to give your bodies to God because of all he has done for you. Let them be a living and holy sacrifice—the kind he will find acceptable. This is truly the way to worship him.",Worship|Sacrifice|Commitment
Philippians 4:13,"For I can do everything through Christ, who gives me strength.",Strength|Faith|Ability
John 17:20-21,"I am praying not only for these disciples but also for all who will ever believe in me through their message. I pray that they will all be one, just as you and I are one—as you are in me, Father, and I am in you. And may they be in us so that the world will believe you sent me.",Unity|Prayer|Community
Psalm 119:30,I have chosen to be faithful; I have determined to live by your regulations.,Faith|Obedience|Choice
John 16:33,"I have told you all this so that you may have peace in DocuSign eSignature eSign legally binding electronic signatures for faster, easier, & customized signing experience. Try it free for 30 days! John 16:33 I have told you all this so that you may have peace in me. Here on earth you will have many trials and sorrows. But take heart, because I have overcome the world.",Peace|Victory|Assurance
Psalm 16:8,"I know the Lord is always with me. I will not be shaken, for he is right beside me.",Presence|Stability|Trust
Psalm 119:11,"I have hidden your word in my heart, that I might not sin against you.",Obedience|Heart|Righteousness
Psalm 121:1-2,"I look up to the mountains—does my help come from there? My help comes from the Lord, who made heaven and earth!",Help|Trust|Creator
Psalm 139:14,Thank you for making me so wonderfully complex! Your workmanship is marvelous—how well I know it.,Creation|Wonder|Praise
Psalm 34:4,"I prayed to the Lord, and he answered me. He freed me from all my fears.",Prayer|Deliverance|Fear
Psalm 130:5,"I am counting on the Lord; yes, I am counting on him. I have put my hope in his word.",Hope|Trust|Waiting
Psalm 40:1-2,"I waited patiently for the Lord to help me, and he turned to me and heard my cry. He lifted me out of the pit of despair, out of the mud and the mire. He set my feet on solid ground and steadied me as I walked along.",Patience|Deliverance|Stability
Psalm 32:8,"The Lord says, “I will guide you along the best pathway for your life. I will advise you and watch over you.",Guidance|Care|Path
Psalm 119:15,I will study your commandments and reflect on your ways.,Study|Obedience|Focus
Psalm 119:93,"I will never forget your commandments, for by them you give me life.",Life|Obedience|Word
John 15:18,"If the world hates you, remember that it hated me firstJNI",Persecution|Assurance|Priority
John 15:7,"But if you remain in me and my words remain in you, you may ask for anything you want, and it will be granted!",Abiding|Prayer|Fulfillment
John 14:15,"If you love me, obey my commandments.",Love|Obedience|Commandment
Matthew 5:16,"In the same way, let your good deeds shine out for all to see, so that everyone will praise your heavenly Father.",Light|Goodness|Glory
Proverbs 16:19,Better to be poor and humble than to be arrogant and rich.,Humility|Righteousness|Contentment
Psalm 119:71,"My suffering was good for me, for it taught me to pay attention to your decrees.",Suffering|Learning|Obedience
John 3:3,"Jesus replied, “I tell you the truth, unless you are born again, you cannot see the Kingdom of God.”",Salvation|Renewal|Faith
John 14:23,"Jesus replied, “All who love me will do what I say. My Father will love them, and we will come and make our home with each of them.",Love|Obedience|Presence
John 11:25-26,"Jesus told her, “I am the resurrection and the life. Anyone who believes in me will live, even after dying. Everyone who lives in me and believes in me will never ever die. Do you believe this, Martha?”",Resurrection|Faith|Life
John 14:6,"Jesus told him, “I am the way, the truth, and the life. No one can come to the Father except through me.",Truth|Salvation|Access
John 20:29,"Then Jesus told him, “You believe because you have seen me. Blessed are those who believe without seeing me.”",Faith|Blessing|Belief
Psalm 119:133,"Guide my steps by your word, so I will not be overcome by evil.",Guidance|Obedience|Purity
Proverbs 4:23,"Guard your heart above all else, for it determines the course of your life.",Heart|Life|Protection
Psalm 25:5,"Lead me by your truth and teach me, for you are the God who saves me. All day long I put my hope in you.",Truth|Guidance|Hope
1 Corinthians 16:14,And do everything with love.,Love|Action|Purpose
Romans 12:9,Don’t just pretend to love others. Really love them. Hate what is wrong. Hold tightly to what is good.,Love|Goodness|Integrity
Ephesians 4:29,"Don’t use foul or abusive language. Let everything you say be good and helpful, so that your words will be an encouragement to those who hear them.",Words|Encouragement|Grace
Proverbs 3:3-4,"Never let loyalty and kindness leave you! Tie them around your neck as a reminder. Write them deep within your heart. Then you will find favor with both God and people, and you will earn a good reputation.",Love|Faithfulness|Reputation
John 14:1,"Don’t let your hearts be troubled. Trust in God, and trust also in me.",Trust|Peace|Assurance
Psalm 90:17,"And may the Lord our God show us his approval and make our efforts successful. Yes, make our efforts successful!",Favor|Success|Work
Psalm 19:14,"May the words of my mouth and the meditation of my heart be pleasing to you, O Lord, my rock and my redeemer.",Words|Heart|Acceptance
Psalm 119:76,"Now let your unfailing love comfort me, just as you promised me, your servant.",Love|Comfort|Promise
Romans 8:26,"And the Holy Spirit helps us in our weakness. For example, we don’t know what God wants us to pray for. But the Holy Spirit prays for us with groanings that cannot be expressed in words.",Spirit|Prayer|Help
Ephesians 5:15-16,"So be careful how you live. Don’t live like fools, but like those who are wise. Make the most of every opportunity in these evil days.",Wisdom|Time|Care
Romans 13:10,"Love does no wrong to others, so love fulfills the requirements of God’s law.",Love|Law|Fulfillment
1 Corinthians 13:4-7,"Love is patient and kind. Love is not jealous or boastful or proud or rude. It does not demand its own way. It is not irritable, and it keeps no record of being wronged. It does not rejoice about injustice but rejoices whenever the truth wins out. Love never gives up, never loses faith, is always hopeful, and endures through every circumstance.",Love|Patience|Endurance
Psalm 31:23,"Love the Lord, all you godly ones! For the Lord protects those who are loyal to him, but he harshly punishes the arrogant.",Love|Faithfulness|Protection
Psalm 34:19,"The righteous person faces many troubles, but the Lord comes to the rescue each time.",Trials|Deliverance|Righteousness
Proverbs 19:21,"You can make many plans, but the Lord’s purpose will prevail.",Purpose|God|Providence
Romans 15:5-6,"May God, who gives this patience and encouragement, help you live in complete harmony with each other, as is fitting for followers of Christ Jesus. Then all of you can join together with one voice, giving praise and glory to God, the Father of our Lord Jesus Christ.",Harmony|Encouragement|Unity
Romans 15:13,"I pray that God, the source of hope, will fill you completely with joy and peace because you trust in him. Then you will overflow with confident hope through the power of the Holy Spirit.",Hope|Joy|Peace
Psalm 73:26,"My health may fail, and my spirit may grow weak, but God remains the strength of my heart; he is mine forever.",Strength|God|Assurance
Proverbs 3:11-12,"My child, don’t reject the Lord’s discipline, and don’t be upset when he corrects you. For the Lord corrects those he loves, just as a father corrects a child in whom he delights.",Discipline|Love|Correction
Psalm 119:28,"I am worn out from sobbing, but I will be strengthened by your word.",Sorrow|Strength|Word
Matthew 6:24,No one can serve two masters. For you will hate one and love the other; you will be devoted to one and despise the other. You cannot serve both God and money.,Service|Priorities|God
1 Corinthians 10:13,"The temptations in your life are no different from what others experience. And God is faithful. He will not allow the temptation to be more than you can stand. When you are tempted, he will show you a way out so that you can endure.",Temptation|Faithfulness|Endurance
Romans 8:37,"No, despite all these things, overwhelming victory is ours through Christ, who loved us.",Victory|Love|Assurance
Romans 5:3-4,"We can rejoice, too, when we run into problems and trials, for we know that they help us develop endurance. And endurance develops strength of character, and character strengthens our confident hope of salvation.",Suffering|Endurance|Hope
Hebrews 11:1,Faith shows the reality of what we hope for; it is the evidence of things we cannot see.,Faith|Hope|Assurance
Ephesians 3:20,"Now all glory to God, who is able, through his mighty power at work within us, to accomplish infinitely more than we might ask or think.",Power|Glory|Ability
Psalm 119:97,"Oh, how I love your instructions! I think about them all day long.",Love|Obedience|Meditation
Psalm 31:19,"How great is the goodness you have stored up for those who fear you. You lavish it on those who come to you for protection, blessing them before the watching world.",Goodness|Protection|Fear
Psalm 34:8,"Taste and see that the Lord is good. Oh, the joys of those who take refuge in him!",Goodness|Refuge|Joy
Psalm 119:18,Open my eyes to see the wonderful truths in your instructions.,Truth|Understanding|Prayer
Romans 13:8,"Owe nothing to anyone—except for your obligation to love one another. If you love your neighbor, you will fulfill the requirements of God’s law.",Love|Law|Fulfillment
John 14:27,I am leaving you with a gift—peace of mind and heart. And the peace I give is a gift the world cannot give. So don’t be troubled or afraid.,Peace|Assurance|Gift
Ephesians 6:18,Pray in the Spirit at all times and on every occasion. Stay alert and be persistent in your prayers for all believers everywhere.,Prayer|Perseverance|Community
Proverbs 16:18,"Pride goes before destruction, and haughtiness before a fall.",Pride|Destruction|Humility
Ephesians 6:11,Put on all of God’s armor so that you will be able to stand firm against all strategies of the devil.,Protection|Strength|Faith
1 Thessalonians 5:16-18,"Always be joyful. Never stop praying. Be thankful in all circumstances, for this is God’s will for you who belong to Christ Jesus.",Joy|Prayer|Thanksgiving
Romans 12:12,"Rejoice in our confident hope. Be patient in trouble, and keep on praying.",Hope|Patience|Prayer
Romans 12:15,"Be happy with those who are happy, and weep with those who weep.",Empathy|Community|Love
Psalm 105:5,"Remember the wonders he has performed, his miracles, and the rulings he has given.",Remembrance|God|Works
Romans 12:17-18,Never pay back evil with more evil. Do things in such a way that everyone can see you are honorable. Do all that you can to live in peace with everyone.,Evil|Peace|Honor
Proverbs 16:13,The king is pleased with words from righteous lips; he loves those who speak honestly.,Truth|Righteousness|Honor
John 17:17,"Make them holy by your truth; teach them your word, which is truth.",Truth|Sanctification|Word
John 16:22,"So you have sorrow now, but I will see you again; then you will rejoice, and no one can rob you of that joy.",Joy|Sorrow|Assurance
Romans 10:17,"So faith comes from hearing, that is, hearing the Good News about Christ.",Faith|Truth|Hearing
Romans 14:19,"So then, let us aim for harmony in the church and try to build each other up.",Peace|Community|Edification
Matthew 7:12,Do to others whatever you would like them to do to you. This is the essence of all that is taught in the law and the prophets.,Love|Kindness|Law
Proverbs 31:25,"She is clothed with strength and dignity, and she laughs without fear of the future.",Strength|Dignity|Hope
Proverbs 23:18,You will be rewarded for this; your hope will not be disappointed.,Hope|Future|Assurance
Matthew 11:29-30,"Take my yoke upon you. Let me teach you, because I am humble and gentle at heart, and you will find rest for your souls. For my yoke is easy to bear, and the burden I give you is light.",Rest|Humility|Learning
Ephesians 3:16-17,"I pray that from his glorious, unlimited resources he will empower you with inner strength through his Spirit. Then Christ will make his home in your hearts as you trust in him. Your roots will grow down into God’s love and keep you strong.",Strength|Love|Faith
Proverbs 4:7,"Getting wisdom is the wisest thing you can do! And whatever else you do, develop good judgment.",Wisdom|Value|Priority
Proverbs 17:3,"Fire tests the purity of silver and gold, but the Lord tests the heart.",Testing|Heart|God
Proverbs 15:31,"If you listen to constructive criticism, you will be at home among the wise.",Wisdom|Reproof|Growth
Psalm 34:15,The eyes of the Lord watch over those who do right; his ears are open to their cries for help.,Righteousness|Prayer|Care
Proverbs 15:33,The fear of the Lord teaches wisdom; humility precedes honor.,Wisdom|Humility|Honor
Romans 16:20,The God of peace will soon crush Satan under your feet. The grace of our Lord Jesus be with you.,Victory|Peace|Grace
Proverbs 16:9,"We can make our plans, but the Lord determines our steps.",Purpose|Guidance|God
Proverbs 15:29,"The Lord is far from the wicked, but he hears the prayers of the righteous.",Righteousness|Prayer|God
Psalm 145:9,The Lord is good to everyone. He showers compassion on all his creation.,Goodness|Mercy|God
Psalm 27:1,"The Lord is my light and my salvation—so why should I be afraid? The Lord is my fortress, protecting me from danger, so why should I tremble?",Light|Salvation|Fear
Psalm 18:2,"The Lord is my rock, my fortress, and my savior; my God is my rock, in whom I find protection. He is my shield, the power that saves me, and my place of safety.",Protection|Strength|Refuge
Psalm 23:1,The Lord is my shepherd; I have all that I need.,Provision|Care|God
Psalm 28:7,"The Lord is my strength and shield. I trust him with all my heart. He helps me, and my heart is filled with joy. I burst out in songs of thanksgiving.",Strength|Trust|Joy
Psalm 34:18,The Lord is close to the brokenhearted; he rescues those whose spirits are crushed.,Compassion|Restoration|Presence
Psalm 138:8,"The Lord will work out his plans for my life—for your faithful love, O Lord, endures forever. Don’t abandon me, for you made me.",Purpose|Love|Eternal
Proverbs 18:10,The name of the Lord is a strong fortress; the godly run to him and are safe.,Protection|Strength|Refuge
Proverbs 22:4,"True humility and fear of the Lord lead to riches, honor, and long life.",Humility|Honor|Life
Proverbs 20:7,The godly walk with integrity; blessed are their children who follow them.,Integrity|Blessing|Legacy
Psalm 119:160,The very essence of your words is truth; all your just regulations will stand forever.,Truth|Eternal|Word
John 10:10,The thief’s purpose is to steal and kill and destroy. My purpose is to give them a rich and satisfying life.,Life|Purpose|Abundance
Psalm 119:130,"The teaching of your word gives light, so even the simple can understand.",Light|Understanding|Word
Proverbs 14:1,"A wise woman builds her home, but a foolish woman tears it down with her own hands.",Wisdom|Stability|Home
Matthew 16:24,"Then Jesus said to his disciples, “If any of you wants to be my follower, you must give up your own way, take up your cross, and follow me.",Discipleship|Sacrifice|Commitment
Romans 8:1,So now there is no condemnation for those who belong to Christ Jesus.,Salvation|Grace|Freedom
